name,slug,description,sku,price,trackInventory,stockOnHand,enabled,assetUrls,customFields:analogInputs,customFields:brand,customFields:category,customFields:commercialStatus,customFields:communication,customFields:depth,customFields:digitalInputs,customFields:digitalOutputs,customFields:height,customFields:productType,customFields:programmingLanguage,customFields:statusCode,customFields:voltage,customFields:weight,customFields:width
"Modicon M200 16I/O, 24V C.C, 9 intrari, 7 iesiri Tr. NPN",modicon-m200-16i-o-24v-c-c-9-intrari-7-iesiri-tr-npn,"Modicon M200 16I/O, 24V C.C, 9 intrari, 7 iesiri Tr. NPN - Schneider Electric",TM200C16U,661.63,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=xP5000-M1DR24AA111_front&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF142036&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF142036&p_File_Type=rendition_369_jpg,0,schneider,plc,Comercializat,Modbus+USB,"11,8 cm",16,7,"13,6 cm",TM200,Ladder,others,24V,"512,5 g",9 cm
"Modicon M200 24I/O, C.C.24V, 14 intrari, 10 iesiri Tr. PNP",modicon-m200-24i-o-c-c-24v-14-intrari-10-iesiri-tr-pnp,"Modicon M200 24I/O, C.C.24V, 14 intrari, 10 iesiri Tr. PNP - Schneider Electric",TM200C24T,742.14,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=xP5000-M1DR60AA111_front&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF142010&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF142010&p_File_Type=rendition_369_jpg,0,schneider,plc,Comercializat,Modbus+USB,"13,6 cm",24,10,9 cm,TM200,Ladder,others,24V,616 g,"13,8 cm"
"Modicon M200 24I/O, C.C.24V, 14 intrari, 10 iesiri Tr. NPN",modicon-m200-24i-o-c-c-24v-14-intrari-10-iesiri-tr-npn,"Modicon M200 24I/O, C.C.24V, 14 intrari, 10 iesiri Tr. NPN - Schneider Electric",TM200C24U,742.14,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF142040&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=xP5000-M1DR40EA111_front&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=xP5000-M1DR40EA111_front&p_File_Type=rendition_369_jpg,0,schneider,plc,Comercializat,Modbus+USB,"13,8 cm",24,10,"13,6 cm",TM200,Ladder,others,24V,"602,5 g",9 cm
"Modicon M200 16I/O,C.A.220V, 9 intrari, 7 iesiri",modicon-m200-16i-o-c-a-220v-9-intrari-7-iesiri,"Modicon M200 16I/O,C.A.220V, 9 intrari, 7 iesiri - Schneider Electric",TM200C16R,661.63,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=xP5000-M1DR16AA111_front&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF142035&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF142035&p_File_Type=rendition_369_jpg,0,schneider,plc,Comercializat,Modbus+USB,"13,738 cm",16,7,"9,598 cm",TM200,Ladder,others,230V,508 g,"12,326 cm"
"Modicon M200 24I/O, C.C.24V, 14 intrari, 10 iesiri Tr. PNP, 1 Eth",modicon-m200-24i-o-c-c-24v-14-intrari-10-iesiri-tr-pnp-1-eth,"Modicon M200 24I/O, C.C.24V, 14 intrari, 10 iesiri Tr. PNP, 1 Eth - Schneider Electric",TM200CE24T,824.64,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=xP5000-M1DT16AA111_front&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF142011&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF142011&p_File_Type=rendition_369_jpg,0,schneider,plc,Comercializat,Modbus+Ethernet+USB,"14,000 cm",24,10,"9,500 cm",TM200,Ladder,others,24V,"598,000 g","13,600 cm"
"Modicon M200 24I/O, C.C.24V, 14 intrari, 10 iesiri Tr. NPN, 1 Eth",modicon-m200-24i-o-c-c-24v-14-intrari-10-iesiri-tr-npn-1-eth,"Modicon M200 24I/O, C.C.24V, 14 intrari, 10 iesiri Tr. NPN, 1 Eth - Schneider Electric",TM200CE24U,824.64,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF142041&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF142041&p_File_Type=rendition_369_jpg,0,schneider,plc,Comercializat,Modbus+Ethernet+USB,"13,8 cm",24,10,"13,6 cm",TM200,Ladder,others,24V,612 g,9 cm
"Modicon M200 40I/O,C.C.24V, 24 intrari, 16 iesiri Tr. NPN",modicon-m200-40i-o-c-c-24v-24-intrari-16-iesiri-tr-npn,"Modicon M200 40I/O,C.C.24V, 24 intrari, 16 iesiri Tr. NPN - Schneider Electric",TM200C40U,989.54,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=xP5000-M1DT40EA111_front&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF142046&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF142046&p_File_Type=rendition_369_jpg,0,schneider,plc,Comercializat,Modbus+USB,"13,6 cm",40,16,9 cm,TM200,Ladder,others,24V,"772,5 g","18,3 cm"
"Modicon M200 60I/O,C.A.220V, 36 intrari, 24 iesiri",modicon-m200-60i-o-c-a-220v-36-intrari-24-iesiri,"Modicon M200 60I/O,C.A.220V, 36 intrari, 24 iesiri - Schneider Electric",TM200C60R,1171.68,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=xP5000-M1DU40AA111_front&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF142018&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF142018&p_File_Type=rendition_369_jpg,0,schneider,plc,Comercializat,Modbus+USB,"23,764 cm",60,24,"9,467 cm",TM200,Ladder,others,230V,"900,5 g","13,692 cm"
"Modicon M200 24I/O, C.A.220V, 14 intrari, 10 iesiri , 1 Eth",modicon-m200-24i-o-c-a-220v-14-intrari-10-iesiri-1-eth,"Modicon M200 24I/O, C.A.220V, 14 intrari, 10 iesiri , 1 Eth - Schneider Electric",TM200CE24R,766.92,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF142039&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=xP5000-M1DR32EA111_front&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=xP5000-M1DR32EA111_front&p_File_Type=rendition_369_jpg,0,schneider,plc,Comercializat,Modbus+Ethernet+USB,"14,312 cm",24,10,"9,497 cm",TM200,Ladder,others,230V,"609,5 g","13,655 cm"
"Modicon M200 32I/O, C.A.220V, 18 intrari, 14 iesiri",modicon-m200-32i-o-c-a-220v-18-intrari-14-iesiri,"Modicon M200 32I/O, C.A.220V, 18 intrari, 14 iesiri - Schneider Electric",TM200C32R,1083.48,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF142063&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=xP5000-M1DT24AA111_front&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=xP5000-M1DT24AA111_front&p_File_Type=rendition_369_jpg,0,schneider,plc,Comercializat,Modbus+USB,"18,3 cm",32,12,"13,6 cm",TM200,Ladder,others,230V,"757,5 g","9,0 cm"
